PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
117,Malcolm Brogdon,POR,31,39,15,24,28.7,15.7,5.6,12.7,44,2.1,5.1,41.2,2.4,3,81.9,0.7,3.1,3.8,5.5,1.5,0.7,0.2,1.5,29.7,4,0,-2.1
118,Caris LeVert,CLE,29,60,35,25,28.6,13.7,5,12.2,41,1.6,5,31.7,2.2,2.9,74.7,0.6,3.5,4,5.3,1.6,1.1,0.5,1.8,29.5,6,0,1.9
119,Ayo Dosunmu,CHI,24,70,34,36,28.6,11.8,4.6,9.3,49.4,1.5,3.9,39.9,1.1,1.3,80.6,0.7,2.1,2.8,3.1,1.3,0.9,0.5,2.1,22.5,1,0,-2.1
120,De'Andre Hunter,ATL,26,47,22,25,28.6,15.6,5.3,11.3,47,2,5,40.5,3,3.4,87,0.6,3.1,3.6,1.4,1.3,0.7,0.3,2.6,24,1,0,-0.4
121,Duncan Robinson,MIA,29,63,35,28,28.5,13.5,4.7,10.3,45.7,2.9,7.1,40.5,1.2,1.4,88.6,0.2,2.3,2.6,3,1.4,0.7,0.2,2.4,22.4,0,0,1
122,Jaden Ivey,DET,22,68,12,56,28.5,15.2,5.3,12.3,43.4,1.5,4.6,32.6,3.1,4,75.9,1.2,2.3,3.5,3.7,2.5,0.8,0.6,2.8,26.4,1,0,-4.6
123,Dorian Finney-Smith,BKN,30,62,24,38,28.4,8.7,3.2,7.6,42.2,1.8,5.1,35.7,0.5,0.6,75,1.7,3,4.7,1.6,0.8,0.8,0.6,2.3,20.1,0,0,-1.2
124,Luguentz Dort,OKC,24,68,47,21,28.3,10.8,3.6,8.2,44.4,2,5,40.4,1.5,1.8,84.2,1,2.7,3.7,1.4,0.9,0.9,0.6,3,20.8,0,0,4.6
125,Kyle Lowry,PHI,38,52,26,26,28.2,8.1,2.7,6.5,41.7,1.6,4.3,37.6,1,1.2,84.4,0.6,2.8,3.4,4.2,1.4,1.1,0.3,2.4,21.1,2,0,-1
126,Bruce Brown,TOR,27,60,25,35,28.2,10.9,4.2,8.9,46.6,0.8,2.5,31.3,1.8,2.2,84.6,0.9,3.6,4.4,2.9,1.3,0.9,0.3,2.2,22.9,2,0,-2.1
127,Bojan Bogdanovic,NYK,34,46,13,33,28.2,16.3,5.7,12.8,44.7,2.5,6.4,39.3,2.3,2.9,78.5,0.4,2.5,2.9,2,2,0.6,0.1,1.9,22.9,1,0,-7
128,Alex Caruso,CHI,30,63,30,33,28.1,10,3.5,7.6,46.4,1.8,4.6,39.4,1.1,1.5,76.1,0.9,2.9,3.8,3.2,1.3,1.6,1,2.6,25.8,1,0,0.3
129,Taurean Prince,LAL,30,67,36,31,28,9.1,3.3,7.5,44.2,1.9,4.8,38.9,0.6,0.8,71.4,0.2,2.7,3,1.6,0.9,0.8,0.5,2,18,0,0,-2
130,John Collins,UTA,26,66,27,39,28,14.8,5.8,10.9,52.9,1.2,3.4,35.9,2,2.6,78,2.3,6.1,8.5,1.2,1.4,0.6,0.9,2.8,29.7,23,0,-4.6
131,De'Anthony Melton,PHI,25,36,23,13,27.8,11.5,3.8,9.7,39.1,2.1,5.8,36.2,1.8,2.2,83.5,0.8,3.1,3.8,3.1,1.1,1.6,0.4,2.3,25.5,0,0,5.9
132,Cameron Johnson,BKN,28,55,19,36,27.8,13.7,4.9,10.8,45.2,2.5,6.2,39.7,1.5,1.9,78.1,1,3.4,4.4,2.5,1,0.8,0.2,1.8,24.9,1,0,-1.2
133,Gary Trent Jr.,TOR,25,64,22,42,27.7,13.1,4.8,11.4,42.2,2.5,6.3,40.1,1,1.3,76.5,0.4,2.2,2.6,1.5,0.6,1,0.2,1.3,21.4,1,0,-2.3
134,Trey Murphy III,NOP,23,46,30,16,27.7,14,4.6,10.7,43.5,2.8,7.7,36.8,1.9,2.4,78.4,0.7,3.8,4.5,2,0.6,0.8,0.5,1.2,25.7,0,0,5.6
135,Isaac Okoro,CLE,23,63,38,25,27.6,9.6,3.5,7.2,48.8,1.3,3.2,38.9,1.3,1.9,68,1,2.1,3.1,2,0.8,0.9,0.5,2.1,19.6,0,0,0.7
136,Vince Williams Jr.,MEM,23,52,18,34,27.6,10,3.3,7.3,44.6,1.5,4,37.8,2,2.5,80,1.1,4.4,5.6,3.4,1.8,0.9,0.7,2.6,24.7,3,0,-1.8
137,Tim Hardaway Jr.,DAL,32,68,41,27,27.6,15.3,5.2,12.9,40.5,2.8,7.9,35.8,2,2.3,85.4,0.3,3,3.3,1.7,0.9,0.5,0.1,1.4,22.8,0,0,0.5
138,Aaron Nesmith,IND,24,63,35,28,27.5,12.3,4.4,8.8,49.8,2,4.7,44,1.5,1.9,75.4,0.9,2.9,3.7,1.5,0.9,1,0.7,3.4,23.2,1,0,1.7
139,Grant Williams,CHA,25,67,31,36,27.4,9.6,3.3,7.7,43.6,1.6,4.5,36.1,1.3,1.7,77.2,1.1,2.9,4,1.9,1.4,0.6,0.5,2.9,19.2,2,0,-3
140,Donte DiVincenzo,NYK,27,70,43,27,27.4,14.9,5.3,12,44.2,3.3,8.4,40,1,1.3,73.4,0.8,2.7,3.5,2.6,1.4,1.3,0.4,2.1,26.8,0,0,1.6
141,Patrick Williams,CHI,22,43,19,24,27.3,10,3.7,8.3,44.3,1.4,3.4,39.9,1.2,1.5,78.8,1.1,2.8,3.9,1.5,1.3,0.9,0.8,2,20.7,0,0,-0.3
142,Caleb Martin,MIA,28,54,30,24,27.3,10.3,3.9,8.8,44,1.3,3.6,36.8,1.3,1.6,78.2,1.2,3.4,4.6,2,1.2,0.8,0.4,2.1,21.2,2,0,0.4
143,Myles Turner,IND,28,69,39,30,27.3,17.1,6.2,11.9,52.1,1.5,4.1,35.4,3.2,4.2,77.2,1.5,5.4,7,1.3,1.4,0.5,1.8,3.1,33,15,0,2.3
144,Bilal Coulibaly,WAS,19,63,11,52,27.2,8.4,3,6.9,43.5,1,2.9,34.6,1.5,2.1,70.2,0.9,3.2,4.1,1.7,1.4,0.9,0.8,2.2,19.6,1,0,-6.7
145,Al Horford,BOS,37,59,46,13,27.2,8.5,3.2,6.4,50.4,1.7,3.9,42.1,0.4,0.5,89.3,1.3,5.2,6.5,2.6,0.7,0.6,1,1.5,24.2,3,0,6.5
146,Jusuf Nurkic,PHX,29,68,42,26,27.2,11.3,4.4,8.5,51.6,0.3,1.3,24.1,2.2,3.4,63.2,2.9,8,11,3.8,2.3,1,1,3.3,33.8,24,0,5.1
147,Scoot Henderson,POR,20,53,16,37,27.2,13.2,4.6,12.1,37.8,1.2,4,30.5,2.8,3.4,82.6,0.8,2.2,3.1,4.8,3.1,0.7,0.2,3.1,23.7,5,0,-6.6
148,Draymond Green,GSW,34,45,25,20,27,8.9,3.4,7.1,48.6,1,2.4,39.1,1.1,1.4,75.4,1.4,5.9,7.3,6,2.4,0.8,0.9,3,29.3,7,1,2.7
149,Tre Jones,SAS,24,67,15,52,26.9,9.8,3.8,7.4,51.3,0.8,2.3,33.8,1.4,1.6,87.9,0.7,2.7,3.4,6.1,1.4,1,0.1,1.2,24.9,3,0,-1
150,Cody Martin,CHA,28,28,7,21,26.9,7.5,2.9,7.7,38.1,1,3.1,31.4,0.7,1.2,60.6,0.7,3.2,3.9,3.7,1.6,1.1,0.6,1.7,21.6,1,0,-5.6
151,Brandin Podziemski,GSW,21,62,31,31,26.9,9.4,3.7,8.2,44.7,1.3,3.3,37.9,0.8,1.2,62.7,1.6,4.1,5.7,3.8,1.3,0.9,0.2,1.7,23.9,7,0,3.6
152,Mark Williams,CHA,22,19,7,12,26.8,12.7,5.2,7.9,64.9,0,0,0,2.4,3.4,71.9,4,5.7,9.7,1.2,0.9,0.8,1.1,2.6,30.9,8,0,-1.1
153,Jalen Suggs,ORL,22,64,38,26,26.7,12.5,4.5,9.6,46.4,2.1,5.3,39.8,1.5,1.9,75.6,0.7,2.5,3.2,2.6,1.9,1.4,0.6,2.8,24.3,0,0,0.7
154,Andrew Wiggins,GSW,29,61,29,32,26.7,12.7,4.8,10.6,45.5,1.2,3.3,36,1.8,2.5,72.8,1.6,2.8,4.4,1.7,1.1,0.6,0.5,2.1,22.5,3,0,-1.7
155,Nick Richards,CHA,26,61,12,49,26.6,9.8,3.9,5.7,68.1,0,0,0,2.1,2.8,73.7,2.7,5.6,8.3,0.8,1.1,0.4,1.2,2.6,24.6,18,0,-6.7
156,Josh Green,DAL,23,54,31,23,26.6,8.5,3.2,6.6,49.3,1.3,3.3,40.1,0.7,1,67.3,0.7,2.5,3.2,2.3,1.1,0.8,0.2,1.9,17.8,0,0,-0.9
157,Santi Aldama,MEM,23,59,22,37,26.6,10.9,4.1,9.5,43.6,1.8,5,35.1,0.9,1.5,62.1,1.2,4.7,5.9,2.3,1.2,0.7,0.9,1.4,25,5,0,-4.5
158,Chris Paul,GSW,38,46,23,23,26.5,9.4,3.6,8,44.3,1.4,3.7,38.5,0.9,1,83.3,0.4,3.6,4,7,1.1,1.2,0.1,1.9,27.2,5,0,1.2
159,Buddy Hield,PHI,31,74,38,36,26.4,12.2,4.5,10.3,43.6,2.7,6.9,38.4,0.6,0.6,87.2,0.6,2.5,3.2,3,1.2,0.9,0.5,2,23.4,1,0,0.3
160,Khris Middleton,MIL,32,46,29,17,26.4,15,5.7,11.6,49.3,1.7,4.5,38,1.9,2.3,83.7,0.7,3.7,4.4,5.2,2.2,0.9,0.3,2.5,29.5,5,1,3.7
161,Keyonte George,UTA,20,65,25,40,26.4,12.8,4.2,10.6,39.3,1.9,5.7,33.9,2.5,3,84,0.2,2.7,2.9,4.5,2.3,0.5,0.1,1.2,22.6,1,0,-4.6
162,Jakob Poeltl,TOR,28,50,21,29,26.4,11.1,5,7.6,65.6,0,0,0,1.2,2.1,55.1,2.9,5.7,8.6,2.5,1.5,0.7,1.5,3,30.3,20,0,-0.3
163,Malik Monk,SAC,26,70,42,28,26.3,15.7,5.6,12.5,44.4,2.1,6,35.2,2.4,2.9,83.3,0.4,2.6,3,5.2,2.1,0.6,0.5,2.2,28.5,2,0,0.4
164,Jonathan Kuminga,GSW,21,69,35,34,26.3,16.3,6.2,11.8,52.8,0.7,2.3,32.1,3.1,4.1,74.1,1.2,3.5,4.7,2.1,1.7,0.7,0.5,2.3,27.1,4,0,1.6
165,Ivica Zubac,LAC,27,59,35,24,26.2,11.3,4.8,7.4,65.4,0,0,0,1.7,2.4,69.4,2.9,6.2,9.1,1.4,1.2,0.3,1.2,2.7,27.7,17,0,2.9
166,Gordon Hayward,OKC,34,41,19,22,26.2,10.5,3.9,8.6,45.5,0.7,1.9,39,1.9,2.5,75.7,0.9,3.1,4,3.6,1.5,0.8,0.3,1.5,22.4,0,0,-3.4
167,Collin Sexton,UTA,25,72,29,43,26.2,18.5,6.4,13.1,49.3,1.7,4.2,40.5,4,4.6,86.1,0.9,1.7,2.6,4.8,2,0.8,0.2,1.9,29.9,4,0,-1.1
168,Bennedict Mathurin,IND,21,59,33,26,26.1,14.5,5,11.2,44.6,1.4,3.6,37.4,3.1,3.8,82.1,1,2.9,4,2,1.6,0.6,0.2,2,23.1,3,0,-1.6
169,Wendell Carter Jr.,ORL,24,44,25,19,26.1,11.3,4.2,7.8,53,1.1,3,38.2,1.8,2.6,69.8,2,4.9,7,1.8,1.3,0.5,0.5,2.2,24.2,6,0,0.7
170,Norman Powell,LAC,30,67,41,26,26,14.1,5,10.1,49.3,2.2,5.1,43.7,1.9,2.3,83.4,0.2,2.4,2.6,1.1,0.9,0.6,0.3,1.9,20.6,0,0,2.1
171,Rui Hachimura,LAL,26,57,32,25,25.8,12.7,5,9.5,52.8,1.3,3.2,40.8,1.4,1.9,72.5,0.7,3,3.8,1.1,0.7,0.6,0.3,1.5,21,0,0,1.6
172,Josh Richardson,MIA,30,43,24,19,25.6,9.9,3.6,8.1,44.4,1.5,4.4,34.7,1.2,1.3,94.4,0.4,2.4,2.8,2.4,0.8,0.6,0.3,1.8,18.7,0,0,-2.5
173,Onyeka Okongwu,ATL,23,55,23,32,25.5,10.2,4.1,6.6,61.1,0.4,1.3,33.3,1.7,2.1,79.3,2.6,4.2,6.8,1.3,0.8,0.5,1.1,2.9,24.3,8,0,-0.6
