,PLAYER_ID,PLAYER,BAYESIAN_3P%,LOWER_BOUND,UPPER_BOUND,SEASON_3P%,HISTORICAL_3P%
159,201935,James Harden,0.36091212989502786,0.26326326326326327,0.45845845845845845,0.42473118279569894,0.3609121298949379
165,1628392,Isaiah Hartenstein,0.3111111111844697,0.2132132132132132,0.4094094094094094,0.3333333333333333,0.3111111111111111
169,1630165,Killian Hayes,0.2742857197959898,0.17617617617617617,0.37237237237237236,0.30158730158730157,0.2742857142857143
176,1630207,Nate Hinton,0.21052901810152094,0.11211211211211211,0.3083083083083083,0.8,0.21052631578947367
178,1628988,Aaron Holiday,0.37742718446602735,0.27927927927927926,0.4754754754754755,0.42574257425742573,0.3774271844660194
179,201950,Jrue Holiday,0.36573946571196964,0.26726726726726724,0.46346346346346345,0.4166666666666667,0.3657394657119251
180,203200,Justin Holiday,0.359612036806873,0.26126126126126126,0.4574574574574575,0.45454545454545453,0.3596120368067645
184,1629659,Talen Horton-Tucker,0.2797731598962435,0.18218218218218218,0.37737737737737737,0.3333333333333333,0.27977315689981097
198,202704,Reggie Jackson,0.3419563459996805,0.24424424424424424,0.44044044044044045,0.3776223776223776,0.3419563459983832
201,2544,LeBron James,0.3445070851753764,0.24624624624624625,0.44244244244244246,0.3978494623655914,0.3445070851744629
205,1630198,Isaiah Joe,0.38582677165354545,0.2882882882882883,0.48348348348348347,0.4180790960451977,0.3858267716535433
209,1630553,Keon Johnson,0.34163701067751184,0.24324324324324323,0.4394394394394394,0.5,0.3416370106761566
215,1626145,Tyus Jones,0.3571428571430119,0.25925925925925924,0.45545545545545546,0.4330708661417323,0.35714285714285715
216,1627884,Derrick Jones Jr.,0.2998171849357637,0.2022022022022022,0.3973973973973974,0.3541666666666667,0.29981718464351004
237,202695,Kawhi Leonard,0.3874450219912052,0.28928928928928926,0.4854854854854855,0.4382716049382716,0.3874450219912035
248,201577,Robin Lopez,0.29891304380399264,0.2012012012012012,0.3973973973973974,0.5,0.29891304347826086
250,200768,Kyle Lowry,0.3652944241793076,0.26726726726726724,0.46346346346346345,0.4295774647887324,0.36529442417926006
251,1641754,Seth Lundy,0.03957680225409486,0.001001001001001001,0.11211211211211211,0.2,0.0
259,1630230,Naji Marshall,0.285714287242781,0.1881881881881882,0.3833833833833834,0.38028169014084506,0.2857142857142857
260,1628997,Caleb Martin,0.35985533453898366,0.26226226226226224,0.4574574574574575,0.3787878787878788,0.35985533453887886
263,1629726,Garrison Mathews,0.36363636363642415,0.2652652652652653,0.46146146146146144,0.45652173913043476,0.36363636363636365
273,203926,Doug McDermott,0.4079581993569133,0.3103103103103103,0.5055055055055055,0.4424778761061947,0.4079581993569132
276,1629162,Jordan McLaughlin,0.34138972809807855,0.24324324324324323,0.4394394394394394,0.36363636363636365,0.3413897280966767
279,1629002,Chimezie Metu,0.29811320790560286,0.20020020020020018,0.3963963963963964,0.32558139534883723,0.2981132075471698
285,201988,Patty Mills,0.3885714285714299,0.2902902902902903,0.48648648648648646,0.5,0.38857142857142857
287,1631303,Justin Minaya,0.2500000706750556,0.15215215215215216,0.3483483483483483,0.5,0.25
292,1630600,Isaiah Mobley,0.3750000000000112,0.2772772772772773,0.47347347347347346,0.5,0.375
293,1628370,Malik Monk,0.3559322033900144,0.25825825825825827,0.45345345345345345,0.4158878504672897,0.3559322033898305
